,crn,location,day,start,end
0,11801,DSB 109,R,2018-01-04T08:30:00,2018-01-04T16:30:00
1,11801,DSB 109,F,2018-01-05T08:30:00,2018-01-05T16:30:00
2,11801,DSB 109,M,2018-01-08T08:30:00,2018-01-08T16:30:00
3,11801,DSB 109,T,2018-01-09T08:30:00,2018-01-09T16:30:00
4,11801,DSB 109,W,2018-01-10T08:30:00,2018-01-10T16:30:00
5,11809,DMH 350,R,2018-01-04T08:30:00,2018-01-04T16:30:00
6,11809,DMH 350,F,2018-01-05T08:30:00,2018-01-05T16:30:00
7,11809,DMH 350,M,2018-01-08T08:30:00,2018-01-08T16:30:00
8,11809,DMH 350,T,2018-01-09T08:30:00,2018-01-09T16:30:00
9,11809,DMH 350,W,2018-01-10T08:30:00,2018-01-10T16:30:00
10,11803,DSB 114,F,2018-01-05T18:00:00,2018-01-05T22:00:00
11,11803,DSB 114,M,2018-01-08T18:00:00,2018-01-08T22:00:00
12,11803,DSB 114,T,2018-01-09T18:00:00,2018-01-09T22:00:00
13,11803,DSB 114,W,2018-01-10T18:00:00,2018-01-10T22:00:00
14,11803,DSB 114,R,2018-01-11T18:00:00,2018-01-11T22:00:00
15,11803,DSB 114,F,2018-01-12T18:00:00,2018-01-12T22:00:00
16,11803,DSB 114,F,2018-01-05T08:30:00,2018-01-05T16:30:00
17,11803,DSB 114,M,2018-01-08T08:30:00,2018-01-08T16:30:00
18,11803,DSB 114,T,2018-01-09T08:30:00,2018-01-09T16:30:00
19,11803,DSB 114,W,2018-01-10T08:30:00,2018-01-10T16:30:00
20,11803,DSB 114,R,2018-01-11T08:30:00,2018-01-11T16:30:00
21,11803,DSB 114,F,2018-01-12T08:30:00,2018-01-12T16:30:00
22,11803,DSB 114,S,2018-01-06T08:30:00,2018-01-06T16:30:00
23,11803,DSB 114,S,2018-01-13T08:30:00,2018-01-13T16:30:00
24,11834,DSB 106,T,2018-01-02T18:30:00,2018-01-02T21:30:00
25,11834,DSB 106,W,2018-01-03T18:30:00,2018-01-03T21:30:00
26,11834,DSB 106,R,2018-01-04T18:30:00,2018-01-04T21:30:00
27,11834,DSB 106,F,2018-01-05T18:30:00,2018-01-05T21:30:00
28,11834,DSB 106,M,2018-01-08T18:30:00,2018-01-08T21:30:00
29,11834,DSB 106,T,2018-01-09T18:30:00,2018-01-09T21:30:00
30,11834,DSB 106,W,2018-01-10T18:30:00,2018-01-10T21:30:00
31,11834,DSB 106,R,2018-01-11T18:30:00,2018-01-11T21:30:00
32,11834,DSB 106,F,2018-01-12T18:30:00,2018-01-12T21:30:00
33,11834,DSB 106,T,2018-01-02T09:00:00,2018-01-02T17:30:00
34,11834,DSB 106,W,2018-01-03T09:00:00,2018-01-03T17:30:00
35,11834,DSB 106,R,2018-01-04T09:00:00,2018-01-04T17:30:00
36,11834,DSB 106,F,2018-01-05T09:00:00,2018-01-05T17:30:00
37,11834,DSB 106,M,2018-01-08T09:00:00,2018-01-08T17:30:00
38,11834,DSB 106,T,2018-01-09T09:00:00,2018-01-09T17:30:00
39,11834,DSB 106,W,2018-01-10T09:00:00,2018-01-10T17:30:00
40,11834,DSB 106,R,2018-01-11T09:00:00,2018-01-11T17:30:00
41,11834,DSB 106,F,2018-01-12T09:00:00,2018-01-12T17:30:00
42,11834,DSB 106,S,2018-01-06T09:00:00,2018-01-06T17:30:00
43,11834,DSB 106,S,2018-01-13T09:00:00,2018-01-13T17:30:00
44,11802,DSB 115,T,2018-01-02T18:00:00,2018-01-02T21:30:00
45,11802,DSB 115,W,2018-01-03T18:00:00,2018-01-03T21:30:00
46,11802,DSB 115,R,2018-01-04T18:00:00,2018-01-04T21:30:00
47,11802,DSB 115,M,2018-01-08T18:00:00,2018-01-08T21:30:00
48,11802,DSB 115,T,2018-01-09T18:00:00,2018-01-09T21:30:00
49,11802,DSB 115,W,2018-01-10T18:00:00,2018-01-10T21:30:00
50,11802,DSB 115,R,2018-01-11T18:00:00,2018-01-11T21:30:00
51,11802,DSB 115,T,2018-01-02T08:30:00,2018-01-02T17:30:00
52,11802,DSB 115,W,2018-01-03T08:30:00,2018-01-03T17:30:00
53,11802,DSB 115,R,2018-01-04T08:30:00,2018-01-04T17:30:00
54,11802,DSB 115,M,2018-01-08T08:30:00,2018-01-08T17:30:00
55,11802,DSB 115,T,2018-01-09T08:30:00,2018-01-09T17:30:00
56,11802,DSB 115,W,2018-01-10T08:30:00,2018-01-10T17:30:00
57,11802,DSB 115,R,2018-01-11T08:30:00,2018-01-11T17:30:00
58,11802,DSB 115,S,2018-01-06T08:30:00,2018-01-06T17:30:00
59,11802,DSB 115,S,2018-01-13T08:30:00,2018-01-13T17:30:00
60,11833,DSB 109,T,2018-01-02T18:00:00,2018-01-02T21:30:00
61,11833,DSB 109,W,2018-01-03T18:00:00,2018-01-03T21:30:00
62,11833,DSB 109,R,2018-01-04T18:00:00,2018-01-04T21:30:00
63,11833,DSB 109,F,2018-01-05T18:00:00,2018-01-05T21:30:00
64,11833,DSB 109,M,2018-01-08T18:00:00,2018-01-08T21:30:00
65,11833,DSB 109,T,2018-01-09T18:00:00,2018-01-09T21:30:00
66,11833,DSB 109,W,2018-01-10T18:00:00,2018-01-10T21:30:00
67,11833,DSB 109,R,2018-01-11T18:00:00,2018-01-11T21:30:00
68,11833,DSB 109,T,2018-01-02T08:30:00,2018-01-02T16:30:00
69,11833,DSB 109,W,2018-01-03T08:30:00,2018-01-03T16:30:00
70,11833,DSB 109,R,2018-01-04T08:30:00,2018-01-04T16:30:00
71,11833,DSB 109,F,2018-01-05T08:30:00,2018-01-05T16:30:00
72,11833,DSB 109,M,2018-01-08T08:30:00,2018-01-08T16:30:00
73,11833,DSB 109,T,2018-01-09T08:30:00,2018-01-09T16:30:00
74,11833,DSB 109,W,2018-01-10T08:30:00,2018-01-10T16:30:00
75,11833,DSB 109,R,2018-01-11T08:30:00,2018-01-11T16:30:00
76,11833,DSB 109,S,2018-01-06T08:30:00,2018-01-06T16:30:00
77,11833,DSB 109,S,2018-01-13T08:30:00,2018-01-13T16:30:00
78,11830,JGS 25,R,2018-01-04T08:30:00,2018-01-04T16:30:00
79,11830,JGS 25,F,2018-01-05T08:30:00,2018-01-05T16:30:00
80,11830,JGS 25,M,2018-01-08T08:30:00,2018-01-08T16:30:00
81,11830,JGS 25,T,2018-01-09T08:30:00,2018-01-09T16:30:00
82,11830,JGS 25,W,2018-01-10T08:30:00,2018-01-10T16:30:00
83,11819,DMH 331,R,2018-01-04T08:30:00,2018-01-04T16:30:00
84,11819,DMH 331,F,2018-01-05T08:30:00,2018-01-05T16:30:00
85,11819,DMH 331,M,2018-01-08T08:30:00,2018-01-08T16:30:00
86,11819,DMH 331,T,2018-01-09T08:30:00,2018-01-09T16:30:00
87,11819,DMH 331,W,2018-01-10T08:30:00,2018-01-10T16:30:00
88,11832,LYL 22,R,2018-01-04T08:30:00,2018-01-04T16:30:00
89,11832,LYL 22,F,2018-01-05T08:30:00,2018-01-05T16:30:00
90,11832,LYL 22,M,2018-01-08T08:30:00,2018-01-08T16:30:00
91,11832,LYL 22,T,2018-01-09T08:30:00,2018-01-09T16:30:00
92,11832,LYL 22,W,2018-01-10T08:30:00,2018-01-10T16:30:00
